Model,Data,MSE,MAE,R^2
Linear Regression,Train,3739.0815223983036,38.00135980236398,0.8330600454961636
Linear Regression,Test,2847.9082086305452,37.429276558835895,0.9249992385277814
Linear Regression,Cross Validation,6245.620737548804,42.17967174283848,0.648902168280341
